,ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Prosody,Morphemes,asjp_forms,asjp_segs
42,Guilin-Liu-2007-201-92-1,,Guilin,Liu-2007-201-92,pʰᴀ²⁵,pʰᴀ²⁵,pʰ a̠ ²⁵,,Liu2007,,,,,i n t,,ph~ a , a ph~
43,Guangzhou-Liu-2007-201-92-1,,Guangzhou,Liu-2007-201-92,pʰa³³,pʰa³³,pʰ a ³³,,Liu2007,,,,,i n t,,ph~ a , a ph~
44,Fuzhou-Liu-2007-201-92-1,,Fuzhou,Liu-2007-201-92,kiaŋ⁵⁵,kiaŋ⁵⁵,k j a ŋ ⁵⁵,,Liu2007,,,,,i m n c t,,k y a N , N a k y
45,Xiamen-Liu-2007-201-92-1,,Xiamen,Liu-2007-201-92,kiã⁵⁵,kiã⁵⁵,k j ã ⁵⁵,,Liu2007,,,,,i m n t,,k y a* , a* k y
46,Beijing-Liu-2007-201-93-1,,Beijing,Liu-2007-201-93,pʰi³⁵ fu⁰,pʰi³⁵ fu⁰,pʰ i ³⁵ + f u ⁰,,Liu2007,,,,,i n t + i n t,,ph~ i   f u , f i ph~ u
47,Haerbin-Liu-2007-201-93-1,,Haerbin,Liu-2007-201-93,ʐou⁵³ pʰiər²⁴,ʐou⁵³ pʰiər²⁴,ʐ ou ⁵³ + pʰ j ə ²⁴,,Liu2007,,,,,i n t + i m n t,,Z ou   ph~ y 3 , 3 Z ou ph~ y
48,Jinan-Liu-2007-201-93-1,,Jinan,Liu-2007-201-93,pʰi⁵³ fu²¹⁴,pʰi⁵³ fu²¹⁴,pʰ i ⁵³ + f u ²¹⁴,,Liu2007,,,,,i n t + i n t,,ph~ i   f u , f i ph~ u
49,Rongcheng-Liu-2007-201-93-1,,Rongcheng,Liu-2007-201-93,pʰi³⁵ fu⁵²,pʰi³⁵ fu⁵²,pʰ i ³⁵ + f u ⁵²,,Liu2007,,,,,i n t + i n t,,ph~ i   f u , f i ph~ u
50,Taiyuan-Liu-2007-201-93-1,,Taiyuan,Liu-2007-201-93,pʰi²¹ fu²¹,pʰi²¹ fu²¹,pʰ i ²¹ + f u ²¹,,Liu2007,,,,,i n t + i n t,,ph~ i   f u , f i ph~ u
51,XiAn-Liu-2007-201-93-1,,XiAn,Liu-2007-201-93,pʰi²⁴,pʰi²⁴,pʰ i ²⁴,,Liu2007,,,,,i n t,,ph~ i , i ph~
52,Chengdu-Liu-2007-201-93-1,,Chengdu,Liu-2007-201-93,pʰi²¹⁻⁵⁵ pʰi²¹⁻⁵⁵,pʰi²¹⁻⁵⁵ pʰi²¹⁻⁵⁵,pʰ i ²¹ + pʰ i ²¹,,Liu2007,,,,,i n t + i n t,,ph~ i   ph~ i , i ph~
53,Chengdu-Liu-2007-201-93-2,,Chengdu,Liu-2007-201-93,pʰi²¹⁻⁵⁵ tsɿ⁵³,pʰi²¹⁻⁵⁵ tsɿ⁵³,pʰ i ²¹ + ts ɿ ⁵³,,Liu2007,,,,,i n t + i n t,,ph~ i   ts , i ph~ ts
54,Nanjing-Liu-2007-201-93-1,,Nanjing,Liu-2007-201-93,pʰi¹³ fu³¹,pʰi¹³ fu³¹,pʰ i ¹³ + f u ³¹,,Liu2007,,,,,i n t + i n t,,ph~ i   f u , f i ph~ u
55,Jixi-Liu-2007-201-93-1,,Jixi,Liu-2007-201-93,pʰɿ⁴⁴,pʰɿ⁴⁴,pʰ ɿ ⁴⁴,,Liu2007,,,,,i n t,,ph~ , ph~
56,Suzhou-Liu-2007-201-93-1,,Suzhou,Liu-2007-201-93,bi¹³⁻²² fu⁴⁴⁻³¹,bi¹³⁻²² fu⁴⁴⁻³¹,b i ¹³ + f u ⁴⁴,,Liu2007,,,,,i n t + i n t,,b i   f u , b f i u
57,Wenzhou-Liu-2007-201-93-1,,Wenzhou,Liu-2007-201-93,bei³⁴¹⁻³³ fu⁴⁴⁻²²,bei³⁴¹⁻³³ fu⁴⁴⁻²²,b ei ³⁴¹ + f u ⁴⁴,,Liu2007,,,,,i n t + i n t,,b ei   f u , b ei f u
58,Changsha-Liu-2007-201-93-1,,Changsha,Liu-2007-201-93,pi¹³ fu³³,pi¹³ fu³³,p i ¹³ + f u ³³,,Liu2007,,,,,i n t + i n t,,p i   f u , f i p u
59,Loudi-Liu-2007-201-93-1,,Loudi,Liu-2007-201-93,pʰi¹³,pʰi¹³,pʰ i ¹³,,Liu2007,,,,,i n t,,ph~ i , i ph~
60,Nanchang-Liu-2007-201-93-1,,Nanchang,Liu-2007-201-93,pʰi²⁴ fu⁰,pʰi²⁴ fu⁰,pʰ i ²⁴ + f u ⁰,,Liu2007,,,,,i n t + i n t,,ph~ i   f u , f i ph~ u
61,Meixian-Liu-2007-201-93-1,,Meixian,Liu-2007-201-93,pʰi¹¹,pʰi¹¹,pʰ i ¹¹,,Liu2007,,,,,i n t,,ph~ i , i ph~
62,Guilin-Liu-2007-201-93-1,,Guilin,Liu-2007-201-93,pi²² fu⁴²⁻²²,pi²² fu⁴²⁻²²,p i ²² + f u ⁴²,,Liu2007,,,,,i n t + i n t,,p i   f u , f i p u
63,Guangzhou-Liu-2007-201-93-1,,Guangzhou,Liu-2007-201-93,pʰei²¹ fu⁵³,pʰei²¹ fu⁵³,pʰ ei ²¹ + f u ⁵³,,Liu2007,,,,,i n t + i n t,,ph~ ei   f u , ei f ph~ u
64,Fuzhou-Liu-2007-201-93-1,,Fuzhou,Liu-2007-201-93,pʰuoi⁵³⁻⁵⁵ u⁵⁵,pʰuoi⁵³⁻⁵⁵ u⁵⁵,pʰ w oi ⁵³ + u ⁵⁵,,Liu2007,,,,,i m n t + n t,,ph~ w oi   u , oi ph~ u w
65,Fuzhou-Liu-2007-201-93-2,,Fuzhou,Liu-2007-201-93,pʰuoi⁵³,pʰuoi⁵³,pʰ w oi ⁵³,,Liu2007,,,,,i m n t,,ph~ w oi , oi ph~ w
66,Xiamen-Liu-2007-201-93-1,,Xiamen,Liu-2007-201-93,pʰe²¹,pʰe²¹,pʰ e ²¹,,Liu2007,,,,,i n t,,ph~ e , e ph~
67,Beijing-Liu-2007-201-94-1,,Beijing,Liu-2007-201-94,pʰiɑu⁵⁵ fu³⁵,pʰiɑu⁵⁵ fu³⁵,pʰ j ɑu ⁵⁵ + f u ³⁵,,Liu2007,,,,,i m n t + i n t,,ph~ y ou   f u , f ou ph~ u y
