ID,Name,Concepticon_ID,Concepticon_Gloss,Number
98_becomesick,become sick,1847,SICK,98
99_catchacold,catch a cold,2184,CATCH A COLD,99
102_humpback,humpback,99,HUNCHBACK,102
103_die,die,1494,DIE,103
105_i,I,1209,I,105
106_thou,thou,1215,THOU,106
107_he,he,1211,HE,107
108_we,we,1212,WE,108
109_you,you,1213,YOU,109
110_they,they,817,THEY,110
112_self,self,1993,SELF,112
113_who,who,1235,WHO,113
114_what,what,1236,WHAT,114
115_here,here,136,HERE,115
116_there,there,1937,THERE,116
117_where,where,1237,WHERE,117
118_this,this,1214,THIS,118
119_that,that,78,THAT,119
120_whatkindof,what kind of,727,WHICH,120
121_how,how,1239,HOW,121
122_classifierperson,classifier (person),516,PERSON (CLASSIFIER),122
123_classifierpair,classifier (pair),2089,PAIR (CLASSIFIER),123
124_classifierpillow,classifier (pillow),2166,PILLOW (CLASSIFIER),124
125_classifiervehicle,classifier (vehicle),2167,VEHICLE (CLASSIFIER),125
126_classifiercow,classifier (cow),2168,COW (CLASSIFIER),126
127_classifierpig,classifier (pig),2169,PIG (CLASSIFIER),127
128_awhile,a while,726,WHILE,128
129_onetime,one time,374,ONE TIME,129
130_on,on,1741,ABOVE,130
131_under,under,1485,BELOW OR UNDER,131
132_left,left,244,LEFT,132
133_right,right,1019,RIGHT,133
134_inthemiddle,in the middle,,,134
135_inside,inside,1606,INSIDE,135
136_outside,outside,762,OUTSIDE,136
137_sweet,sweet,717,SWEET,137
138_sour,sour,1906,SOUR,138
139_salty,salty,1091,SALTY,139
140_watery,watery,2181,LIGHT (IN TASTE),140
141_fat,fat,1279,FAT (OBESE),141
142_thin,thin,1400,THIN (SLIM),142
143_cold,cold,1287,COLD,143
144_hot,hot,1286,HOT,144
145_wellsmelling,well smelling,376,FRAGRANT,145
146_stinky,stinky,42,STINKING,146
147_thick,thick,1244,THICK,147
148_tiny,tiny,1246,SMALL,148
149_long,long,1203,LONG,149
150_short,short,1645,SHORT,150
151_dirty,dirty,1230,DIRTY,151
152_clean,clean,704,CLEAN,152
153_cheap,cheap,1887,CHEAP,153
156_justright,just right,1725,CORRECT (RIGHT),156
157_and,and,1577,AND,157
158_only,only,1580,ONLY,158
159_from,from,693,FROM,159
160_insteadof,instead of,1652,INSTEAD,160
161_take,take,1749,TAKE,161
162_onpurpose,on purpose,1031,ON PURPOSE,162
163_one,one,1493,ONE,163
164_two,two,1498,TWO,164
165_three,three,492,THREE,165
166_four,four,1500,FOUR,166
167_five,five,493,FIVE,167
168_six,six,1703,SIX,168
169_seven,seven,1704,SEVEN,169
170_eight,eight,1705,EIGHT,170
171_nine,nine,1483,NINE,171
172_ten,ten,1515,TEN,172
173_eleven,eleven,1706,ELEVEN,173
175_twenty,twenty,1710,TWENTY,175
177_first,first,728,FIRST,177
178_second,second,1384,SECOND,178
180_twoounces,two ounces,2180,TWO OUNCES,180
