ID,Form_ID,Form,Cognateset_ID,Doubt,Cognate_Detection_Method,Source,Alignment,Alignment_Method,Alignment_Source
Meixian-6_rain-1-1,Meixian-6_rain-1,lok⁵i³¹,1162,false,expert,List2014d,,,
Changsha-6_rain-1-1,Changsha-6_rain-1,lo²⁴y⁴¹,1162,false,expert,List2014d,,,
Guixian-6_rain-1-1,Guixian-6_rain-1,ɕja²¹³i⁴²,140,false,expert,List2014d,,,
Guixian-6_rain-2-1,Guixian-6_rain-2,lo²¹i⁴²,1162,false,expert,List2014d,,,
Xiamen-6_rain-1-1,Xiamen-6_rain-1,loʔ⁵hɔ²²,1162,false,expert,List2014d,,,
Hefei-6_rain-1-1,Hefei-6_rain-1,ɕja⁵³zy²⁴,140,false,expert,List2014d,,,
Jinan-6_rain-1-1,Jinan-6_rain-1,ɕja²¹y⁵⁵,140,false,expert,List2014d,,,
Hangzhou-6_rain-1-1,Hangzhou-6_rain-1,loʔ²y⁵³,1162,false,expert,List2014d,,,
Guangzhou-6_rain-1-1,Guangzhou-6_rain-1,lɔk²jy²³,1162,false,expert,List2014d,,,
Nanchang-6_rain-1-1,Nanchang-6_rain-1,lɔʔ²y²¹³,1162,false,expert,List2014d,,,
Chengdu-6_rain-1-1,Chengdu-6_rain-1,ɕja¹³y⁵³,140,false,expert,List2014d,,,
Chengdu-6_rain-2-1,Chengdu-6_rain-2,no³¹y⁵³,1162,false,expert,List2014d,,,
Taiyuan-6_rain-1-1,Taiyuan-6_rain-1,xa⁴⁵y⁵³,140,false,expert,List2014d,,,
Shexian-6_rain-1-1,Shexian-6_rain-1,lɔ²²y³⁵,1162,false,expert,List2014d,,,
Beijing-6_rain-1-1,Beijing-6_rain-1,ɕja⁵¹y²¹⁴,140,false,expert,List2014d,,,
Kunming-6_rain-1-1,Kunming-6_rain-1,ɕjᴀ²¹²i⁵³,140,false,expert,List2014d,,,
Shanghai-6_rain-1-1,Shanghai-6_rain-1,loʔ¹ɦy²³,1162,false,expert,List2014d,,,
Meixian-7_snow-1-1,Meixian-7_snow-1,lok⁵sjet¹,1163,false,expert,List2014d,,,
Changsha-7_snow-1-1,Changsha-7_snow-1,lo²⁴sje²⁴,1163,false,expert,List2014d,,,
Guixian-7_snow-1-1,Guixian-7_snow-1,ɕja²¹³ɕjɛ²¹,139,false,expert,List2014d,,,
Xiamen-7_snow-1-1,Xiamen-7_snow-1,loʔ⁵seʔ³²,1163,false,expert,List2014d,,,
Hefei-7_snow-1-1,Hefei-7_snow-1,ɕja⁵³ɕɥɐʔ⁵,139,false,expert,List2014d,,,
Jinan-7_snow-1-1,Jinan-7_snow-1,ɕja²¹ɕɥə²¹³,139,false,expert,List2014d,,,
Jinan-7_snow-2-1,Jinan-7_snow-2,lwə²¹ɕɥə²¹³,1163,false,expert,List2014d,,,
Hangzhou-7_snow-1-1,Hangzhou-7_snow-1,loʔ²ɕjəʔ⁵,1163,false,expert,List2014d,,,
Guangzhou-7_snow-1-1,Guangzhou-7_snow-1,lɔk²syt³,1163,false,expert,List2014d,,,
Nanchang-7_snow-1-1,Nanchang-7_snow-1,lɔʔ²ɕɥɵʔ⁵,1163,false,expert,List2014d,,,
Chengdu-7_snow-1-1,Chengdu-7_snow-1,ɕja¹³ɕɥe³¹,139,false,expert,List2014d,,,
Chengdu-7_snow-2-1,Chengdu-7_snow-2,no³¹ɕɥe³¹,1163,false,expert,List2014d,,,
Taiyuan-7_snow-1-1,Taiyuan-7_snow-1,xa⁴⁵ɕɥəʔ²,139,false,expert,List2014d,,,
Shexian-7_snow-1-1,Shexian-7_snow-1,lɔ²²ɕɥeʔ²¹,1163,false,expert,List2014d,,,
Beijing-7_snow-1-1,Beijing-7_snow-1,ɕja⁵¹ɕɥɛ²¹⁴,139,false,expert,List2014d,,,
Kunming-7_snow-1-1,Kunming-7_snow-1,ɕjᴀ²¹²ɕjɛ³¹,139,false,expert,List2014d,,,
Shanghai-7_snow-1-1,Shanghai-7_snow-1,loʔ¹ɕjɪʔ⁵,1163,false,expert,List2014d,,,
Meixian-8_hail-1-1,Meixian-8_hail-1,pʰok⁵,191,false,expert,List2014d,,,
Changsha-8_hail-1-1,Changsha-8_hail-1,pin³³pʰaw⁵⁵,31,false,expert,List2014d,,,
Guixian-8_hail-1-1,Guixian-8_hail-1,pin⁵⁵pa,31,false,expert,List2014d,,,
Guixian-8_hail-2-1,Guixian-8_hail-2,pɛ²¹i⁴²,924,false,expert,List2014d,,,
Xiamen-8_hail-1-1,Xiamen-8_hail-1,pʰawʔ⁵,191,false,expert,List2014d,,,
Hefei-8_hail-1-1,Hefei-8_hail-1,jɪ̃⁵⁵tɯ⁵³ʦə,1077,false,expert,List2014d,,,
Jinan-8_hail-1-1,Jinan-8_hail-1,pa⁴²ʦɿ,31,false,expert,List2014d,,,
Jinan-8_hail-2-1,Jinan-8_hail-2,ləŋ⁵⁵ʦɿ,1151,false,expert,List2014d,,,
Hangzhou-8_hail-1-1,Hangzhou-8_hail-1,pin³³bɔ²¹³,31,false,expert,List2014d,,,
Guangzhou-8_hail-1-1,Guangzhou-8_hail-1,pɔk²,191,false,expert,List2014d,,,
Guangzhou-8_hail-2-1,Guangzhou-8_hail-2,syt³ʦy⁵⁵,1197,false,expert,List2014d,,,
Nanchang-8_hail-1-1,Nanchang-8_hail-1,pʰɔʔ²ʦɿ⁰²,31,false,expert,List2014d,,,
Chengdu-8_hail-1-1,Chengdu-8_hail-1,pin⁵⁵paw¹³ʦɿ⁵³,31,false,expert,List2014d,,,
Chengdu-8_hail-2-1,Chengdu-8_hail-2,pin⁵⁵tan¹³ʦɿ⁵³,911,false,expert,List2014d,,,
Chengdu-8_hail-3-1,Chengdu-8_hail-3,ɕɥe³¹tan¹³ʦɿ⁵³,836,false,expert,List2014d,,,
Taiyuan-8_hail-1-1,Taiyuan-8_hail-1,ləŋ⁵³tæ̃⁴⁵ʦəʔ,1151,false,expert,List2014d,,,
Shexian-8_hail-1-1,Shexian-8_hail-1,pjʌ̃³¹pʰɔ²²,31,false,expert,List2014d,,,
Beijing-8_hail-1-1,Beijing-8_hail-1,pɑw³⁵ʦɿ³,31,false,expert,List2014d,,,
Kunming-8_hail-1-1,Kunming-8_hail-1,pĩ⁴⁴pɔ²¹²,31,false,expert,List2014d,,,
Kunming-8_hail-2-1,Kunming-8_hail-2,ɕjɛ³¹tᴀ̃²¹²ʦɿ,836,false,expert,List2014d,,,
Kunming-8_hail-3-1,Kunming-8_hail-3,ɕjɛ³¹po³¹ʦɿ⁵³,252,false,expert,List2014d,,,
Shanghai-8_hail-1-1,Shanghai-8_hail-1,piŋ⁵³bɔ³,31,false,expert,List2014d,,,
Meixian-9_freeze-1-1,Meixian-9_freeze-1,kjat¹pen⁴⁴,711,false,expert,List2014d,,,
Changsha-9_freeze-1-1,Changsha-9_freeze-1,ɕja¹¹lin¹¹,282,false,expert,List2014d,,,
Changsha-9_freeze-2-1,Changsha-9_freeze-2,kəw⁵⁵lin¹¹,1099,false,expert,List2014d,,,
Guixian-9_freeze-1-1,Guixian-9_freeze-1,ʨjɛ²¹pin,711,false,expert,List2014d,,,
Guixian-9_freeze-2-1,Guixian-9_freeze-2,ʨʰi⁴²lin²¹³pin⁵⁵,515,false,expert,List2014d,,,
Xiamen-9_freeze-1-1,Xiamen-9_freeze-1,kjat³²piŋ⁵⁵,711,false,expert,List2014d,,,
Xiamen-9_freeze-2-1,Xiamen-9_freeze-2,kjan⁵⁵piŋ⁵⁵,490,false,expert,List2014d,,,
Hefei-9_freeze-1-1,Hefei-9_freeze-1,ʨiʔ⁵pin²¹,711,false,expert,List2014d,,,
Jinan-9_freeze-1-1,Jinan-9_freeze-1,tuŋ²¹³tuŋ,776,false,expert,List2014d,,,
Hangzhou-9_freeze-1-1,Hangzhou-9_freeze-1,ʨjəʔ⁵pin³³,711,false,expert,List2014d,,,
Guangzhou-9_freeze-1-1,Guangzhou-9_freeze-1,kit³peŋ⁵⁵,711,false,expert,List2014d,,,
Nanchang-9_freeze-1-1,Nanchang-9_freeze-1,ʨjɛʔ⁵pin⁴²,711,false,expert,List2014d,,,
Nanchang-9_freeze-2-1,Nanchang-9_freeze-2,lɛn²¹tɑw⁰²ljɛwiɛu⁰²,373,false,expert,List2014d,,,
Chengdu-9_freeze-1-1,Chengdu-9_freeze-1,ʨje³¹pin⁵⁵,711,false,expert,List2014d,,,
Taiyuan-9_freeze-1-1,Taiyuan-9_freeze-1,twəŋ⁴⁵pjəŋ¹¹,776,false,expert,List2014d,,,
