ID,Form_ID,Form,Cognateset_ID,Doubt,Cognate_Detection_Method,Source,Alignment,Alignment_Method,Alignment_Source
Mono-65_vomit-1-1,Mono-65_vomit-1,ooʔi,65_vomit-1,false,expert,,,,
Mono-66_see-1-1,Mono-66_see-1,puni,66_see-1,false,expert,,,,
Mono-67_hear-1-1,Mono-67_hear-1,naqqa,67_hear-1,false,expert,,,,
Mono-68_know-1-1,Mono-68_know-1,suttapɨhi,68_know-5,false,expert,,,,
Mono-69_sleep-1-1,Mono-69_sleep-1,ɨwi,69_sleep-1,false,expert,,,,
Mono-70_die-1-1,Mono-70_die-1,etaa,70_die-9,false,expert,,,,
Mono-71_kill-1-1,Mono-71_kill-1,pacca,71_kill-2,false,expert,,,,
Mono-72_fly-1-1,Mono-72_fly-1,yocci,72_fly-1,false,expert,,,,
Mono-73_walk-1-1,Mono-73_walk-1,nɨwi,73_walk-1,false,expert,,,,
Mono-74_come-1-1,Mono-74_come-1,kimma,74_come-1,false,expert,,,,
Mono-75_lie-1-1,Mono-75_lie-1,hapi,75_lie-1,false,expert,,,,
Mono-76_sitsitdown-1-1,Mono-76_sitsitdown-1,qattɨ,76_sitsitdown-1,false,expert,,,,
Mono-77_standup-1-1,Mono-77_standup-1,"wɨnɨ""",77_standup-1,false,expert,,,,
Mono-78_throw-1-1,Mono-78_throw-1,wɨna-ʔi,78_throw-1,false,expert,,,,
Mono-79_give-1-1,Mono-79_give-1,kiya,79_give-1,false,expert,,,,
Mono-80_say-1-1,Mono-80_say-1,ine,80_say-1,false,expert,,,,
Mono-80_say-2-1,Mono-80_say-2,inee,80_say-1,false,expert,,,,
Mono-81_sing-1-1,Mono-81_sing-1,hupia-ru,81_sing-1,false,expert,,,,
Mono-82_sun-1-1,Mono-82_sun-1,tape,82_sun-1,false,expert,,,,
Mono-83_moon-1-1,Mono-83_moon-1,tamɨʔa,83_moon-1,false,expert,,,,
Mono-84_star-1-1,Mono-84_star-1,"tacinu""",84_star-1,false,expert,,,,
Mono-85_sky-1-1,Mono-85_sky-1,tukuppa,85_sky-1,false,expert,,,,
Mono-86_water-1-1,Mono-86_water-1,paya,86_water-1,false,expert,,,,
Mono-87_wind-1-1,Mono-87_wind-1,"hɨkkwa""",87_wind-1,false,expert,,,,
Mono-88_rain-1-1,Mono-88_rain-1,tɨɨkkwa,88_rain-9,false,expert,,,,
Mono-88_rain-2-1,Mono-88_rain-2,tɨɨkwápe,88_rain-9,false,expert,,,,
Mono-89_snow-1-1,Mono-89_snow-1,nɨpa,89_snow-1,false,expert,,,,
Mono-90_stonerock-1-1,Mono-90_stonerock-1,"tɨppi""",90_stonerock-1,false,expert,,,,
Mono-91_sand-1-1,Mono-91_sand-1,"passiwa""",91_sand-1,false,expert,,,,
Mono-92_earth-1-1,Mono-92_earth-1,"tɨpi""",92_earth-1,false,expert,,,,
Mono-93_salt-1-1,Mono-93_salt-1,omma,93_salt-1,false,expert,,,,
Mono-94_cloud-1-1,Mono-94_cloud-1,toö,94_cloud-1,false,expert,,,,
Mono-95_smoke-1-1,Mono-95_smoke-1,"kuk-kuhi""",95_smoke-1,false,expert,,,,
Mono-96_fire-1-1,Mono-96_fire-1,qoso,96_fire-1,false,expert,,,,
Mono-97_ash-1-1,Mono-97_ash-1,esiya,97_ash-7,false,expert,,,,
Mono-98_burn-1-1,Mono-98_burn-1,pita,98_burn-7,false,expert,,,,
Mono-99_pathroad-1-1,Mono-99_pathroad-1,poyo,99_pathroad-1,false,expert,,,,
Mono-100_mountain-1-1,Mono-100_mountain-1,toya,100_mountain-1,false,expert,,,,
Mono-101_red-1-1,Mono-101_red-1,aqqa-pono,101_red-1,false,expert,,,,
Mono-102_green-1-1,Mono-102_green-1,puhi-tuwa,102_green-1,false,expert,,,,
Mono-103_yellow-1-1,Mono-103_yellow-1,oha-pono,103_yellow-1,false,expert,,,,
Mono-104_white-1-1,Mono-104_white-1,tocci-pono,104_white-1,false,expert,,,,
Mono-105_black-1-1,Mono-105_black-1,tummu,105_black-1,false,expert,,,,
Mono-106_night-1-1,Mono-106_night-1,toqa,106_night-1,false,expert,,,,
Mono-107_name-1-1,Mono-107_name-1,na-niya-nna,107_name-1,false,expert,,,,
Mono-108_year-1-1,Mono-108_year-1,too,108_year-1,false,expert,,,,
Mono-110_three-1-1,Mono-110_three-1,pahí-i,110_three-1,false,expert,,,,
Mono-110_three-2-1,Mono-110_three-2,tu,110_three-1,false,expert,,,,
Mono-111_four-1-1,Mono-111_four-1,wacikwí-i,111_four-1,false,expert,,,,
Mono-111_four-2-1,Mono-111_four-2,tu,111_four-1,false,expert,,,,
Mono-112_five-1-1,Mono-112_five-1,manigí-i,112_five-1,false,expert,,,,
Mono-112_five-2-1,Mono-112_five-2,tu,112_five-1,false,expert,,,,
Mono-113_six-1-1,Mono-113_six-1,naabahí-i,113_six-1,false,expert,,,,
Mono-113_six-2-1,Mono-113_six-2,tu,113_six-1,false,expert,,,,
Mono-114_i-1-1,Mono-114_i-1,nɯ,114_i-1,false,expert,,,,
Mono-115_yousing-1-1,Mono-115_yousing-1,ɯh,115_yousing-2,false,expert,,,,
Mono-116_we-1-1,Mono-116_we-1,tɑ,116_we-2,false,expert,,,,
Mono-117_what-1-1,Mono-117_what-1,hɑ,117_what-7,false,expert,,,,
Mono-118_who-1-1,Mono-118_who-1,haghe,118_who-1,false,expert,,,,
Mono-119_this-1-1,Mono-119_this-1,ihu,119_this-1,false,expert,,,,
Mono-120_that-1-1,Mono-120_that-1,u,120_that-2,false,expert,,,,
Mono-121_all-1-1,Mono-121_all-1,nasimi-,121_all-4,false,expert,,,,
Mono-122_swim-1-1,Mono-122_swim-1,pɑhɑpi-,122_swim-1,false,expert,,,,
Tubatulabel-1_nonot-1-1,Tubatulabel-1_nonot-1,haš,1_nonot-1,false,expert,,,,
Tubatulabel-2_many-1-1,Tubatulabel-2_many-1,yoowi,2_many-4,false,expert,,,,
Tubatulabel-3_one-1-1,Tubatulabel-3_one-1,čiič,3_one-3,false,expert,,,,
Tubatulabel-4_two-1-1,Tubatulabel-4_two-1,woo,4_two-1,false,expert,,,,
Tubatulabel-5_big-1-1,Tubatulabel-5_big-1,egeewan,5_big-7,false,expert,,,,
Tubatulabel-6_old-1-1,Tubatulabel-6_old-1,uulaw-ɨt,6_old-10,false,expert,,,,
Tubatulabel-6_old-2-1,Tubatulabel-6_old-2,uuʔuulawica,6_old-10,false,expert,,,,
Tubatulabel-7_small-1-1,Tubatulabel-7_small-1,kuʔuzubi-l,7_small-8,false,expert,,,,
Tubatulabel-8_short-1-1,Tubatulabel-8_short-1,tabuuʔupi-l,8_short-4,false,expert,,,,
Tubatulabel-9_long-1-1,Tubatulabel-9_long-1,utudu,9_long-10,false,expert,,,,
Tubatulabel-10_new-1-1,Tubatulabel-10_new-1,mapita,10_new-7,false,expert,,,,
Tubatulabel-11_good-1-1,Tubatulabel-11_good-1,tɨwɨ,11_good-8,false,expert,,,,
Tubatulabel-12_round-1-1,Tubatulabel-12_round-1,muluŋwa-l,12_round-8,false,expert,,,,
Tubatulabel-12_round-2-1,Tubatulabel-12_round-2,muluʔuŋa-,12_round-8,false,expert,,,,
Tubatulabel-13_heavy-1-1,Tubatulabel-13_heavy-1,pɨlɨʔ,13_heavy-2,false,expert,,,,
Tubatulabel-13_heavy-2-1,Tubatulabel-13_heavy-2,-ipɨlɨʔ,13_heavy-2,false,expert,,,,
Tubatulabel-14_dry-1-1,Tubatulabel-14_dry-1,waag-ɨt,14_dry-2,false,expert,,,,
Tubatulabel-14_dry-2-1,Tubatulabel-14_dry-2,awak,14_dry-2,false,expert,,,,
Tubatulabel-16_dirty-1-1,Tubatulabel-16_dirty-1,tuguubiš-ɨt,16_dirty-1,false,expert,,,,
Tubatulabel-16_dirty-2-1,Tubatulabel-16_dirty-2,utuguubiš,16_dirty-1,false,expert,,,,
Tubatulabel-17_full-1-1,Tubatulabel-17_full-1,ɨmbɨm,17_full-10,false,expert,,,,
Tubatulabel-17_full-2-1,Tubatulabel-17_full-2,pɨim-it,,false,expert,,,,
Tubatulabel-18_cold-1-1,Tubatulabel-18_cold-1,šɨɨb-t,18_cold-2,false,expert,,,,
Tubatulabel-18_cold-2-1,Tubatulabel-18_cold-2,ɨšɨip,18_cold-2,false,expert,,,,
Tubatulabel-19_hot-1-1,Tubatulabel-19_hot-1,ɨɨdɨɨʔ-ɨt,19_hot-1,false,expert,,,,
Tubatulabel-19_hot-2-1,Tubatulabel-19_hot-2,ɨʔɨdɨɨʔ,19_hot-1,false,expert,,,,
Tubatulabel-20_woman-1-1,Tubatulabel-20_woman-1,koimi,20_woman-10,false,expert,,,,
Tubatulabel-21_man-1-1,Tubatulabel-21_man-1,taatwa-l,21_man-2,false,expert,,,,
Tubatulabel-22_person-1-1,Tubatulabel-22_person-1,nɨmɨ-,,false,expert,,,,
Tubatulabel-23_fish-1-1,Tubatulabel-23_fish-1,kuyuu-l,23_fish-2,false,expert,,,,
Tubatulabel-24_bird-1-1,Tubatulabel-24_bird-1,čikii-t,,false,expert,,,,
Tubatulabel-25_dog-1-1,Tubatulabel-25_dog-1,punku,25_dog-1,false,expert,,,,
Tubatulabel-26_louse-1-1,Tubatulabel-26_louse-1,nahaa-l,26_louse-5,false,expert,,,,
Tubatulabel-27_snake-1-1,Tubatulabel-27_snake-1,tuha-t,27_snake-6,false,expert,,,,
Tubatulabel-28_tree-1-1,Tubatulabel-28_tree-1,uuʔu-t,28_tree-2,false,expert,,,,
Tubatulabel-29_bark-1-1,Tubatulabel-29_bark-1,opit,29_bark-8,false,expert,,,,
Tubatulabel-29_bark-2-1,Tubatulabel-29_bark-2,opun,29_bark-8,false,expert,,,,
Tubatulabel-30_leaf-1-1,Tubatulabel-30_leaf-1,naŋhabɨɨ-l,30_leaf-1,false,expert,,,,
Tubatulabel-31_root-1-1,Tubatulabel-31_root-1,wiiši,31_root-3,false,expert,,,,
Tubatulabel-32_seed-1-1,Tubatulabel-32_seed-1,punʒi-l,32_seed-1,false,expert,,,,
Tubatulabel-33_blood-1-1,Tubatulabel-33_blood-1,ɨkwa,33_blood-2,false,expert,,,,
Tubatulabel-34_meat-1-1,Tubatulabel-34_meat-1,tuguwa,34_meat-1,false,expert,,,,
Tubatulabel-35_skin-1-1,Tubatulabel-35_skin-1,poon-t,35_skin-1,false,expert,,,,
Tubatulabel-36_bone-1-1,Tubatulabel-36_bone-1,o-n,36_bone-1,false,expert,,,,
Tubatulabel-37_greasefat-1-1,Tubatulabel-37_greasefat-1,wip-t,37_greasefat-2,false,expert,,,,
Tubatulabel-38_egg-1-1,Tubatulabel-38_egg-1,pomp-t,38_egg-2,false,expert,,,,
Tubatulabel-39_horn-1-1,Tubatulabel-39_horn-1,aawa-t,39_horn-1,false,expert,,,,
Tubatulabel-40_tail-1-1,Tubatulabel-40_tail-1,wišii,40_tail-1,false,expert,,,,
Tubatulabel-41_feather-1-1,Tubatulabel-41_feather-1,aŋaa,41_feather-4,false,expert,,,,
